"Qty";"Value";"Device";"Package";"Parts";"Description";"TME_CODE";
"1";"";"LED3MM";"LED3MM";"LED1";"LED";"L-934ID";
"2";"";"PINHD-2X8";"2X08";"JP1, JP2";"PIN HEADER";"826632-8";
"1";"100nF";"C-EU050-030X075";"C050-030X075";"C2";"CAPACITOR, European symbol";"CC-100N";
"19";"10K";"R-EU_0204/7";"0204/7";"R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R14, R15, R16, R18, R19, R20";"RESISTOR, European symbol";"CF1/2WS-10K";
"1";"10uF";"CPOL-EUE2.5-7";"E2,5-7";"C3";"POLARIZED CAPACITOR, European symbol";"UPW2A100MED";
"1";"1N4001";"1N4004";"DO41-10";"D1";"DIODE";"1N4001";
"1";"270";"R-EU_0204/7";"0204/7";"R21";"RESISTOR, European symbol";"CF1/2WS-270R";
"1";"33pF";"C-EU050-030X075";"C050-030X075";"C1";"CAPACITOR, European symbol";"FKP2-33P/1000-R";
"1";"3K9";"R-EU_0204/7";"0204/7";"R17";"RESISTOR, European symbol";"1/4W3.9K";
"1";"A6EX-310X";"A6EX-310X";"A6EX-310X";"S1";"OMRON";"A6E-3104";
"1";"MCP23016-I/SP";"DIL28-3";"DIL28-3";"IC1";"Dual In Line";"MCP23016-I/SP";
"1";"MX-171857-0004";"MX-171857-0004";"MX-171857-0004";"X1";"";"MX-7395-04B";
