"Qty";"Value";"Device";"Package";"Parts";"Description";"DX_CODE";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"TME_CODE";
"1";"100nF";"C-EU050-030X075";"C050-030X075";"C2";"CAPACITOR, European symbol";"";"";"";"";"";"CC-100N";
"1";"10uF";"CPOL-EUE2.5-7";"E2,5-7";"C3";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"UPW2A100MED";
"2";"1K";"R-EU_0204/7";"0204/7";"R1, R2";"RESISTOR, European symbol";"";"";"";"";"";"CF1/4W-1K";
"3";"270";"R-EU_0204/7";"0204/7";"R7, R8, R9";"RESISTOR, European symbol";"";"";"";"";"";"CF1/2WS-270R";
"1";"2K2";"R-EU_0204/7";"0204/7";"R10";"RESISTOR, European symbol";"";"";"";"";"";"1/4W2.2K";
"2";"3V6";"ZPD";"DO35Z10";"D1, D2";"Z DIODE";"";"";"";"";"";"ZPD3.6-DIO";
"2";"68";"R-EU_0204/7";"0204/7";"R11, R12";"RESISTOR, European symbol";"";"";"";"";"";"CF1/2WS-68R";
"1";"Arduino Nano";"DIL32";"DIL32";"IC1";"Dual In Line";"844081877";"";"";"";"";"N/A";
"2";"B3F-1000";"10-XX";"B3F-10XX";"S1, S2";"OMRON SWITCH";"";"";"B3F-1000";"176432";"36M3542";"B3F-1002";
"1";"GREEN";"TLLR4400";"LED3MM";"LED2";"Low Current (2mA) LED 3 mm Tinted Diffused Package color RED";"";"VISHAY SEMICONDUCTOR";"";"1612437";"";"L-934GD";
"1";"MINI-USB_4P-85-32004-10X";"MINI-USB_4P-85-32004-10X";"85-32004-10X";"X9";"MINI USB 4 Pol.";"";"";"";"unknown";"unknown";"USBB-G";
"8";"MX-171857-0004";"MX-171857-0004";"MX-171857-0004";"X1, X2, X3, X4, X5, X6, X7, X8";"";"";"";"";"";"";"MX-7395-04B";
"1";"RED";"TLLR4400";"LED3MM";"LED1";"Low Current (2mA) LED 3 mm Tinted Diffused Package color RED";"";"VISHAY SEMICONDUCTOR";"";"1612437";"";"L-934ID";
"1";"YELLOW";"TLLR4400";"LED3MM";"LED3";"Low Current (2mA) LED 3 mm Tinted Diffused Package color RED";"";"VISHAY SEMICONDUCTOR";"";"1612437";"";"L-934YD";
